"","sitename","ACROP","ACROPARB","ACROST","ACROTBL","ASTRP","CAUL","COSC","CTEN","CYPH","DIPLO","ECHPO","ECHPHY","FAV","FAVT","FUNG","GAL","GON","GONIO","HYD","ISOP","LEPT","LEPTOR","LEPTOS","LOBOPH","MERU","MILL","MONT","MONTI","OXYP","PACHY","PAV","PLAT","POC","POR","PORCYL","PORMAS","PORRUS","PSAM","STYLO","SYMP","TURBIN"
"11","Fagaalu",0.128205128205128,0.512820512820513,0,0,0,0,0,0,0,0,0,0,0,0,0.512820512820513,0.128205128205128,0,0,0,0,0,0,0,0,0,0.128205128205128,0.128205128205128,2.05128205128205,0,0,4.87179487179487,0.256410256410256,0.128205128205128,0,0,0,0.641025641025641,0,0,0,0
"12","Fagaitua",6.02564102564103,1.92307692307692,0.769230769230769,8.07692307692308,0,0,0.256410256410256,0,0,0,0.128205128205128,0,0,0,0.256410256410256,0.256410256410256,0.384615384615385,0.769230769230769,0.769230769230769,0.256410256410256,0,0,0,1.28205128205128,0,0,0.769230769230769,12.4358974358974,0,0,3.97435897435897,0.512820512820513,1.53846153846154,0,0,0,0.897435897435897,0.128205128205128,0,0,0
"13","Fagamalo",0,0.641025641025641,0,1.41025641025641,0,0,0,0,0,0,0,0.128205128205128,0,0,0,0,0,0,0,0,0.384615384615385,0,0,0,0,0,0.384615384615385,0.256410256410256,0,0,1.02564102564103,0.128205128205128,0.897435897435897,0,0,2.17948717948718,14.1025641025641,0,0,0,0
"14","Fagasa2",0,0,0,0,0,0,0.128205128205128,0,0,0,0,0,0.641025641025641,0,0.128205128205128,0,0,0,0,0,0,0,0.128205128205128,0,0.128205128205128,0,0,1.28205128205128,0,0,2.94871794871795,0.256410256410256,0.897435897435897,0,2.43589743589744,4.74358974358974,7.82051282051282,0,0,0,0
"15","Fagatele",8.46153846153846,0,2.30769230769231,4.74358974358974,0,0,0.384615384615385,0,0,0,1.28205128205128,0,0,0.128205128205128,0,0.641025641025641,0.128205128205128,0,1.02564102564103,0.769230769230769,0.128205128205128,0,0,0.128205128205128,1.28205128205128,0.128205128205128,0.128205128205128,9.48717948717949,0,0,0.769230769230769,0,0.897435897435897,0.128205128205128,1.15384615384615,0,6.79487179487179,0,0,0,0
"16","Laulii",0.384615384615385,0,0,0.256410256410256,0.256410256410256,0,0.133333333333333,0,0,0,0.512820512820513,0,0.133333333333333,0,0,0.646153846153846,0.133333333333333,0.256410256410256,0,0.128205128205128,0,0.256410256410256,0,4.37948717948718,0.133333333333333,0.128205128205128,0.128205128205128,3.61538461538462,0,0,1.03589743589744,0.512820512820513,0.646153846153846,0,0,0,8.61538461538461,0,0,0,0
"17","Leone2",3.20512820512821,4.74358974358974,0.769230769230769,1.53846153846154,0,0,0.256410256410256,0,0,0,0,0,0.128205128205128,0.128205128205128,0,0,0.128205128205128,0.128205128205128,0,11.9230769230769,0.128205128205128,0,0,0,0.384615384615385,0.128205128205128,0.128205128205128,16.2820512820513,0,0,1.02564102564103,0,0.256410256410256,0,0,0.641025641025641,3.46153846153846,0.128205128205128,0,0,0
"18","Maloata",2.69230769230769,0.384615384615385,0,1.15384615384615,0.128205128205128,0,0.384615384615385,0.256410256410256,0,0,0,0.384615384615385,0.641025641025641,0.384615384615385,0,0,0,0.128205128205128,0.128205128205128,0,0.512820512820513,0,0,0,0,0.128205128205128,0.512820512820513,34.7435897435897,0,0,3.58974358974359,0,3.07692307692308,0,0.128205128205128,0,8.2051282051282,0,0,0,0.512820512820513
"19","Masausi",2.82051282051282,0.128205128205128,0.128205128205128,0.512820512820513,0.769230769230769,0,0.641025641025641,0,0.128205128205128,0,0.128205128205128,0.256410256410256,0.256410256410256,0,0,0.256410256410256,0.384615384615385,0.384615384615385,0,0,1.28205128205128,0,0,0,0,0.128205128205128,1.66666666666667,20.8974358974359,0.128205128205128,0,9.1025641025641,0,1.28205128205128,0.128205128205128,0,0.128205128205128,2.69230769230769,0.384615384615385,0,0.128205128205128,0
"20","Masefau",1.29230769230769,0,0,1.28717948717949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16410256410256,0,0,0,0,0.256410256410256,0,0,0.261538461538462,0.128205128205128,0,0,0,0
"21","Matuu",0.769230769230769,0.128205128205128,0,1.41025641025641,0.512820512820513,0,0,0,0,0,0.256410256410256,0,0.256410256410256,0.128205128205128,0.128205128205128,1.66666666666667,0,0.384615384615385,0.128205128205128,0,0.128205128205128,0.384615384615385,0,5.76923076923077,0.769230769230769,0.128205128205128,0.512820512820513,3.07692307692308,0,0,1.28205128205128,0.256410256410256,0.641025641025641,0,0,0,1.92307692307692,0,0,0,0.897435897435897
"22","Nua",0.384615384615385,0.128205128205128,0,0,0.512820512820513,0,0,0,0,0,0.641025641025641,0,0.128205128205128,0.256410256410256,0,0.128205128205128,0,0.256410256410256,0,2.17948717948718,0.512820512820513,0,0,0,0,0,0,10.5128205128205,0,0,0.384615384615385,0,0.128205128205128,0,0.512820512820513,0.384615384615385,8.07692307692308,0.769230769230769,0,0,0
"23","Nuuuli",0.256410256410256,0,0,0,0,0,0.128205128205128,0,0,0.384615384615385,0.256410256410256,0,0.256410256410256,0.384615384615385,0,0.128205128205128,0,0,0,0,0,0.128205128205128,0,0,0,0,0.128205128205128,0.128205128205128,0,0,0.128205128205128,0,0.384615384615385,0,0,0,5,0.128205128205128,0,0,0
"24","Oa",1.04615384615385,0,0,0.774358974358974,0.133333333333333,0,0.512820512820513,0,0,0,0.128205128205128,0,1.16410256410256,0.517948717948718,0,0,0.261538461538462,1.02564102564103,0,0,3.21538461538462,0,0.128205128205128,0,0,0.384615384615385,0.128205128205128,35.7487179487179,0,0.774358974358974,10.0461538461538,0.641025641025641,0.651282051282051,0,0,0.128205128205128,1.92307692307692,0.641025641025641,0,0,0
"25","Poloa",3.71794871794872,3.97435897435897,0,2.94871794871795,0,0,0.641025641025641,0,0,0,0,0,0.641025641025641,0.128205128205128,0,0,0.384615384615385,0,0,0.256410256410256,0.897435897435897,0,0,0,0,0,0.641025641025641,23.0769230769231,0,0,3.97435897435897,0,1.02564102564103,0,0,0.128205128205128,0,0.256410256410256,0,0,0
"26","Sita",1.28205128205128,0.128205128205128,0,0.784615384615385,0.266666666666667,0,0.512820512820513,0,0.384615384615385,0.384615384615385,0,0,1.80512820512821,1.28717948717949,0,0.128205128205128,0.256410256410256,0.256410256410256,0,0,1.94358974358974,0.384615384615385,0,0,0,0,0.261538461538462,11.8153846153846,0,0,5.40512820512821,0.128205128205128,0.646153846153846,0,0,0.128205128205128,1.28205128205128,0.256410256410256,0,0,0
"27","Tafeu",0.897435897435897,0,0,0,0.256410256410256,0,1.41025641025641,0,0,0,0,0,0.641025641025641,0,0,0,0.384615384615385,0,0,0,1.02564102564103,0,0,0.769230769230769,0.128205128205128,0,0,13.8461538461538,0,0,3.46153846153846,0,0.512820512820513,0.128205128205128,0,2.56410256410256,12.4358974358974,0,0,0,0
"28","Vatia",0,0,0,0.128205128205128,0,0,0,0,0,0,0,0,0,0,0.128205128205128,0,0,0,0,0,0,0,0,0,0,0,0,2.43589743589744,0,0,0.256410256410256,0,0.128205128205128,0,2.17948717948718,3.84615384615385,4.48717948717949,0,0,0,0
