,sitename,X.x,distances,rank,quartile,dispersion,X.y,site_transect,transect_no,CORAL,OI,MA,MA_noHALI,BCA,CCA,SAND,FCA,RUB,TURF,HALI,BSR
66,Fagaalu,11,10.62190319,9,2,Med,61,Fagaalu_1,1,0.769230769,0,1.538461538,0,0,32.30769231,0,62.30769231,0,3.076923077,1.538461538,0.529411765
67,Fagaitua,12,7.396684339,2,1,Low,67,Fagaitua_1,1,44.61538462,0.769230769,0,0,1.538461538,33.84615385,0,14.61538462,0,4.615384615,0,4.16
68,Fagaitua,12,7.396684339,2,1,Low,70,Fagaitua_4,4,41.53846154,3.076923077,2.307692308,1.538461538,5.384615385,32.30769231,0,13.07692308,0,2.307692308,0.769230769,4.727272727
69,Fagaitua,12,7.396684339,2,1,Low,71,Fagaitua_5,5,42.30769231,0.769230769,1.538461538,0.769230769,3.846153846,35.38461538,0,10,0,6.153846154,0.769230769,4.863636364
70,Fagaitua,12,7.396684339,2,1,Low,68,Fagaitua_2,2,40.76923077,2.307692308,3.846153846,2.307692308,2.307692308,18.46153846,0,24.61538462,0.769230769,6.923076923,1.538461538,1.863636364
71,Fagaitua,12,7.396684339,2,1,Low,69,Fagaitua_3,3,40.76923077,0,1.538461538,0,6.923076923,27.69230769,0,14.61538462,0,8.461538462,1.538461538,3.333333333
72,Fagaitua,12,7.396684339,2,1,Low,72,Fagaitua_6,6,38.46153846,0.769230769,2.307692308,0,5.384615385,32.30769231,0,16.92307692,0,3.846153846,2.307692308,3.777777778
73,Fagamalo,13,11.93392637,14,2,Med,73,Fagamalo_1,1,30,0,1.538461538,0,1.538461538,25.38461538,0,24.61538462,0,16.92307692,1.538461538,1.407407407
74,Fagamalo,13,11.93392637,14,2,Med,76,Fagamalo_4,4,16.92307692,0,0,0,0,42.30769231,0,23.07692308,0,17.69230769,0,1.452830189
75,Fagamalo,13,11.93392637,14,2,Med,77,Fagamalo_5,5,10.76923077,0,0,0,0,41.53846154,0,27.69230769,0,12.30769231,0,1.307692308
76,Fagamalo,13,11.93392637,14,2,Med,78,Fagamalo_6,6,14.61538462,0,1.538461538,0.769230769,0.769230769,34.61538462,0,29.23076923,0,19.23076923,0.769230769,1.03125
77,Fagamalo,13,11.93392637,14,2,Med,75,Fagamalo_3,3,31.53846154,0,3.076923077,0,4.615384615,23.84615385,0.769230769,16.15384615,0,20,3.076923077,1.744680851
78,Fagamalo,13,11.93392637,14,2,Med,74,Fagamalo_2,2,25.38461538,0,3.076923077,0,0.769230769,26.92307692,0,23.07692308,0,20.76923077,3.076923077,1.280701754
79,Fagasa2,14,16.93530765,26,4,High,83,Fagasa2_5,5,13.84615385,0,10,8.461538462,1.538461538,35.38461538,0,20.76923077,0,18.46153846,1.538461538,1.096774194
80,Fagasa2,14,16.93530765,26,4,High,84,Fagasa2_6,6,10,0.769230769,7.692307692,0,2.307692308,42.30769231,0,15.38461538,0,21.53846154,7.692307692,1.6875
81,Fagasa2,14,16.93530765,26,4,High,81,Fagasa2_3,3,21.53846154,0,10,7.692307692,3.076923077,13.84615385,0,20.76923077,0,30.76923077,2.307692308,0.688311688
82,Fagasa2,14,16.93530765,26,4,High,82,Fagasa2_4,4,26.15384615,3.076923077,7.692307692,0.769230769,4.615384615,13.84615385,0,18.46153846,0,26.15384615,6.923076923,1.13559322
83,Fagasa2,14,16.93530765,26,4,High,79,Fagasa2_1,1,26.92307692,0,7.692307692,0,8.461538462,10.76923077,0,13.84615385,0,32.30769231,7.692307692,1.166666667
84,Fagasa2,14,16.93530765,26,4,High,80,Fagasa2_2,2,30.76923077,0,5.384615385,0,21.53846154,9.230769231,1.538461538,7.692307692,0,23.84615385,5.384615385,2.12195122
85,Fagatele,15,10.73174196,11,2,Med,89,Fagatele_5,5,39.23076923,3.076923077,6.153846154,3.076923077,1.538461538,31.53846154,0,13.07692308,0,5.384615385,3.076923077,3.5
86,Fagatele,15,10.73174196,11,2,Med,88,Fagatele_4,4,36.15384615,3.846153846,3.076923077,0.769230769,0.769230769,30,0,23.84615385,0,2.307692308,2.307692308,2.571428571
87,Fagatele,15,10.73174196,11,2,Med,90,Fagatele_6,6,32.30769231,2.307692308,6.923076923,6.923076923,0.769230769,35.38461538,0,20.76923077,0,1.538461538,0,2.342105263
88,Fagatele,15,10.73174196,11,2,Med,85,Fagatele_1,1,40.76923077,4.615384615,9.230769231,3.076923077,0.769230769,17.69230769,0,19.23076923,0.769230769,6.923076923,6.153846154,2.236842105
89,Fagatele,15,10.73174196,11,2,Med,87,Fagatele_3,3,50,0.769230769,2.307692308,0.769230769,0,20,0,22.30769231,0,4.615384615,1.538461538,2.583333333
