"","sitename","CORAL","OI","MA_noHALI","BCA","CCA","SAND","FCA","RUB","TURF","HALI","calcifiers","noncalcifiers","BSR"
"14","Fagasa2",21.5384615384615,0.641025641025641,2.82051282051282,6.92307692307692,20.8974358974359,0.256410256410256,16.1538461538462,0,25.5128205128205,5.25641025641026,54.6153846153846,44.4871794871795,1.22766570605187
"15","Fagatele",40.8974358974359,2.56410256410256,2.69230769230769,0.641025641025641,26.5384615384615,0,18.7179487179487,0.128205128205128,5,2.82051282051282,70.8974358974359,26.4102564102564,2.68446601941748
"16","Laulii",22.4205128205128,8.23076923076923,1.28717948717949,4.11794871794872,32.7948717948718,0.256410256410256,26.1179487179487,0.261538461538462,4.25641025641026,0.256410256410256,59.5897435897436,31.6615384615384,1.88208616780045
"17","Leone2",45.5128205128205,1.41025641025641,8.97435897435897,0.128205128205128,25.5128205128205,0,12.3076923076923,0,5.76923076923077,0.384615384615385,71.5384615384615,27.051282051282,2.64454976303318
"18","Maloata",58.0769230769231,0,0,1.53846153846154,20.5128205128205,0,18.5897435897436,0,1.15384615384615,0.128205128205128,80.2564102564103,19.7435897435897,4.06493506493506
"19","Masausi",44.7435897435897,0.256410256410256,0,2.05128205128205,14.8717948717949,0,30.5128205128205,0,5.25641025641026,2.17948717948718,63.8461538461538,35.7692307692308,1.78494623655914
"20","Masefau",4.38974358974359,0.128205128205128,0.256410256410256,14.4102564102564,1.41025641025641,16.6974358974359,8.35897435897436,12.7384615384615,29.4974358974359,12.1128205128205,32.3230769230769,38.1128205128205,0.848089343379978
"21","Matuu",21.5384615384615,2.69230769230769,3.46153846153846,1.92307692307692,32.8205128205128,0.512820512820513,28.2051282051282,2.94871794871795,5,0.897435897435897,57.1794871794871,36.6666666666667,1.55944055944056
"22","Nua",25.8974358974359,0.897435897435897,21.9230769230769,0.384615384615385,15.7692307692308,0.256410256410256,17.6923076923077,0.256410256410256,14.8717948717949,1.92307692307692,43.974358974359,54.4871794871795,0.807058823529412
"23","Nuuuli",7.82051282051282,5.12820512820513,20.6410256410256,0,36.1538461538462,0,27.4358974358974,0,2.82051282051282,0,43.974358974359,50.8974358974358,0.863979848866501
"24","Oa",59.974358974359,1.54358974358974,0.646153846153846,0.641025641025641,14.7128205128205,0.384615384615385,8.01025641025641,0.256410256410256,13.7025641025641,0.128205128205128,75.4564102564103,22.3589743589744,3.37477064220183
"25","Poloa",42.6923076923077,0,0.128205128205128,0,35.2564102564103,0,16.9230769230769,0,5,0,77.948717948718,22.051282051282,3.53488372093024
"26","Sita",29.7282051282051,0.512820512820513,1.55897435897436,3.97435897435897,27.6153846153846,0,18.9589743589744,0,14.9487179487179,2.7025641025641,64.0205128205128,35.4666666666667,1.80508964719491
"27","Tafeu",38.4615384615385,15.2564102564103,1.02564102564103,0.897435897435897,10.3846153846154,0.256410256410256,11.6666666666667,0,22.0512820512821,0,49.7435897435898,34.7435897435898,1.43173431734317
"28","Vatia",13.5897435897436,0,3.84615384615385,11.9230769230769,6.53846153846154,12.5641025641026,8.33333333333333,5,29.6153846153846,8.58974358974359,40.6410256410256,41.7948717948718,0.97239263803681
