"","sitename","dispersion","site_transect","ACROP","ACROPARB","ACROST","ACROTBL","ASTRP","CAUL","COSC","CTEN","CYPH","DIPLO","ECHPO","ECHPHY","FAV","FAVT","FUNG","GAL","GON","GONIO","HYD","ISOP","LEPT","LEPTOR","LEPTOS","LOBOPH","MERU","MILL","MONT","MONTI","OXYP","PACHY","PAV","PLAT","POC","POR","PORCYL","PORMAS","PORRUS","PSAM","STYLO","SYMP","TURBIN"
"64","Fagaalu","Med","Fagaalu_4",0,3.07692307692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.61538461538461,0,0,3.07692307692308,0,0.769230769230769,0,0,0,0,0,0,0,0
"65","Fagaalu","Med","Fagaalu_6",0.769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0,3.84615384615385,0,0,0,0,0,1.53846153846154,0,0,0,0
"66","Fagaalu","Med","Fagaalu_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53846153846154,0,0,0,0,0,0,0,0,0,0,0,0,1.53846153846154,0,0,7.69230769230769,0,0,0,0,0,2.30769230769231,0,0,0,0
"67","Fagaitua","Low","Fagaitua_1",6.15384615384615,0,0,13.8461538461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53846153846154,12.3076923076923,0,0,6.15384615384615,0.769230769230769,3.07692307692308,0,0,0,0.769230769230769,0,0,0,0
"68","Fagaitua","Low","Fagaitua_4",10.7692307692308,2.30769230769231,1.53846153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84615384615385,0,0,0,0,6.15384615384615,0,0,0.769230769230769,11.5384615384615,0,0,3.84615384615385,0,0.769230769230769,0,0,0,0,0,0,0,0
"69","Fagaitua","Low","Fagaitua_5",4.61538461538461,0.769230769230769,0,7.69230769230769,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0,0,0,0,0,0,0,0,0.769230769230769,19.2307692307692,0,0,3.07692307692308,0,0.769230769230769,0,0,0,4.61538461538461,0,0,0,0
"70","Fagaitua","Low","Fagaitua_2",3.07692307692308,0,0.769230769230769,15.3846153846154,0,0,1.53846153846154,0,0,0,0.769230769230769,0,0,0,0.769230769230769,0,0,0,0.769230769230769,0,0,0,0,0.769230769230769,0,0,0,7.69230769230769,0,0,6.15384615384615,0,2.30769230769231,0,0,0,0,0.769230769230769,0,0,0
"71","Fagaitua","Low","Fagaitua_3",3.84615384615385,4.61538461538461,2.30769230769231,3.84615384615385,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,2.30769230769231,4.61538461538461,0,0,0,0,0,0.769230769230769,0,0,0,12.3076923076923,0,0,2.30769230769231,2.30769230769231,0.769230769230769,0,0,0,0,0,0,0,0
"72","Fagaitua","Low","Fagaitua_6",7.69230769230769,3.84615384615385,0,7.69230769230769,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0,0,1.53846153846154,0,0,0,0,0,0,1.53846153846154,11.5384615384615,0,0,2.30769230769231,0,1.53846153846154,0,0,0,0,0,0,0,0
"73","Fagamalo","Med","Fagamalo_5",0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0,0,0,0.769230769230769,0,0,0,1.53846153846154,0,3.84615384615385,0,0,0,3.07692307692308,0,0,0,0
"74","Fagamalo","Med","Fagamalo_6",0,0.769230769230769,0,3.84615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53846153846154,0,0,0,0,0,1.53846153846154,0.769230769230769,0,0,0,0,0,0,0,6.15384615384615,0,0,0,0,0
"75","Fagamalo","Med","Fagamalo_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0,1.53846153846154,0,1.53846153846154,0,0,0,26.1538461538462,0,0,0,0
"76","Fagamalo","Med","Fagamalo_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,30.7692307692308,0,0,0,0
"77","Fagamalo","Med","Fagamalo_4",0,3.07692307692308,0,1.53846153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0.769230769230769,0,0,0,1.53846153846154,9.23076923076923,0,0,0,0
"78","Fagamalo","Med","Fagamalo_2",0,0,0,3.07692307692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.30769230769231,0,0,0,0,4.61538461538461,15.3846153846154,0,0,0,0
"79","Fagasa2","High","Fagasa2_5",0,0,0,0,0,0,0,0,0,0,0,0,2.30769230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0,1.53846153846154,1.53846153846154,0.769230769230769,0,0,6.92307692307692,0,0,0,0,0
"80","Fagasa2","High","Fagasa2_6",0,0,0,0,0,0,0,0,0,0,0,0,0.769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.30769230769231,0,0,2.30769230769231,0,0.769230769230769,0,0,1.53846153846154,2.30769230769231,0,0,0,0
